sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
ASV_231	0	28	0	0	80	0	0	71	0	117	0	0	0	0	0	0	14	0	11	62	0	144
ASV_232	0	0	0	0	573	0	0	0	0	181	0	103	0	19	0	0	0	0	678	121	0	0
ASV_233	51	117	40	45	48	0	41	0	40	0	0	0	44	0	307	36	54	0	0	253	44	79
ASV_234	56	76	0	10	1250	0	0	37	0	291	0	0	13	0	0	0	11	0	34	0	0	0
ASV_235	0	0	0	501	0	84	0	0	408	0	93	0	1000	0	0	458	0	0	0	0	157	0
ASV_236	0	0	82	0	138	0	0	266	0	146	0	63	0	0	0	0	0	0	0	177	0	0
ASV_237	0	107	0	0	86	0	0	0	0	29	0	0	0	103	0	0	0	0	41	0	0	17
ASV_238	0	0	25	0	564	0	0	35	37	0	0	0	0	141	0	0	37	9	66	0	14	181
ASV_239	0	0	0	361	41	126	0	0	27	0	11	0	401	145	0	33	56	106	0	0	85	0
ASV_240	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	2081
ASV_241	0	0	0	868	0	0	0	0	89	0	0	0	912	0	0	83	0	27	0	0	360	0
ASV_242	0	31	0	0	91	0	0	14	0	313	0	23	0	0	0	0	0	0	5	373	0	0
ASV_243	0	9	6	0	0	0	319	0	0	0	0	0	14	23	0	4	0	6	0	25	6	42
ASV_244	0	34	5	0	339	0	36	16	0	228	0	58	0	0	0	0	0	0	0	150	0	0
ASV_245	0	0	0	0	116	114	0	0	332	0	23	0	473	0	0	108	124	35	0	0	104	0
ASV_246	0	0	0	1384	0	147	0	0	75	0	49	0	462	0	0	49	0	60	0	0	101	0
ASV_247	0	12	0	0	0	0	34	0	0	226	0	34	0	0	0	0	0	0	52	0	0	0
ASV_248	67	0	30	75	55	0	0	15	0	206	0	0	0	32	0	0	37	0	0	168	0	41
ASV_249	24	36	16	4	108	0	407	578	0	0	0	250	0	41	0	0	4	0	486	321	0	125
ASV_250	28	0	6	0	107	0	0	0	0	476	0	0	0	0	0	0	0	0	15	43	0	0
